['so-called', 'VBN']     ['so-called', 'JJ']
['ENERGY', 'NNP']     ['ENERGY', 'NN']
['Crude', 'NNP']     ['Crude', 'JJ']
['become', 'VBP']     ['become', 'VB']
['up', 'RP']     ['up', 'IN']
['to', 'IN']     ['to', 'TO']
['SUGAR', 'NNP']     ['SUGAR', 'NN']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['all', 'PDT']     ['all', 'DT']
['early', 'RB']     ['early', 'JJ']
['firm', 'VB']     ['firm', 'NN']
['To', 'IN']     ['To', 'TO']
['contract', 'NN']     ['contract', 'VBP']
['traded', 'VBD']     ['traded', 'VBN']
['LIVESTOCK', 'NN']     ['LIVESTOCK', 'NNP']
['MEATS', 'NNS']     ['MEATS', 'NNPS']
['off', 'RP']     ['off', 'IN']
['pork', 'VB']     ['pork', 'NN']
['most', 'JJS']     ['most', 'RBS']
['Cattle', 'NNP']     ['Cattle', 'NNS']
['signs', 'NNS']     ['signs', 'VBZ']
['most', 'JJS']     ['most', 'RBS']
['soybean-meal', 'JJ']     ['soybean-meal', 'NN']
['to', 'IN']     ['to', 'TO']
['about', 'RB']     ['about', 'IN']
['overseas', 'RB']     ['overseas', 'JJ']
['mixed', 'JJ']     ['mixed', 'VBN']
['Investors', 'NNPS']     ['Investors', 'NNP']
['about', 'IN']     ['about', 'RB']
['collateral', 'JJ']     ['collateral', 'NN']
['preferred', 'VBD']     ['preferred', 'JJ']
['improve', 'VBP']     ['improve', 'VB']
['rental', 'NN']     ['rental', 'JJ']
['know', 'VBP']     ['know', 'VB']
['better', 'RBR']     ['better', 'JJR']
['elephant', 'JJ']     ['elephant', 'NN']
['that', 'IN']     ['that', 'DT']
['down', 'IN']     ['down', 'RB']
['Greens', 'NNP']     ['Greens', 'NNPS']
['surrendered', 'VBN']     ['surrendered', 'VBD']
['That', 'IN']     ['That', 'DT']
['fat', 'JJ']     ['fat', 'NN']
['BLAST', 'NNP']     ['BLAST', 'NN']
['to', 'IN']     ['to', 'TO']
['most', 'JJS']     ['most', 'RBS']
['disasters', 'VBZ']     ['disasters', 'NNS']
['about', 'IN']     ['about', 'RB']
['to', 'IN']     ['to', 'TO']
['up', 'RP']     ['up', 'IN']
['business-to-business', 'NN']     ['business-to-business', 'JJ']
['broadcast', 'VBD']     ['broadcast', 'NN']
['hot-line', 'JJ']     ['hot-line', 'NN']
['calls', 'NNS']     ['calls', 'VBZ']
['fill', 'VB']     ['fill', 'VBP']
['out', 'RP']     ['out', 'IN']
['better', 'RBR']     ['better', 'JJR']
['to', 'IN']     ['to', 'TO']
['gone', 'VBD']     ['gone', 'VBN']
['says', 'VBZ']     ['says', 'NNS']
['fades', 'VBZ']     ['fades', 'NNS']
['Section', 'NNP']     ['Section', 'NN']
['deficit-reduction', 'JJ']     ['deficit-reduction', 'NN']
['voting', 'VBG']     ['voting', 'NN']
['to', 'IN']     ['to', 'TO']
['health-coverage', 'JJ']     ['health-coverage', 'NN']
['up', 'RP']     ['up', 'IN']
['pre-empt', 'JJ']     ['pre-empt', 'VB']
['Small-business', 'NNP']     ['Small-business', 'NN']
['in', 'RP']     ['in', 'IN']
['Section', 'NNP']     ['Section', 'NN']
['offering', 'VBG']     ['offering', 'NN']
['to', 'IN']     ['to', 'TO']
['PRISON-SHOP', 'NN']     ['PRISON-SHOP', 'NNP']
['BLUES', 'NN']     ['BLUES', 'NNPS']
['that', 'WDT']     ['that', 'IN']
['to', 'IN']     ['to', 'TO']
['Small-business', 'RB']     ['Small-business', 'NN']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['work', 'NN']     ['work', 'VB']
['auto-emission', 'JJ']     ['auto-emission', 'NN']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['Manufacturers', 'NNPS']     ['Manufacturers', 'NNP']
['oppose', 'VBP']     ['oppose', 'VB']
['longer', 'RBR']     ['longer', 'RB']
['longer', 'JJR']     ['longer', 'RB']
['to', 'IN']     ['to', 'TO']
['new-car', 'JJ']     ['new-car', 'NN']
['find', 'VBP']     ['find', 'VB']
['non-warranty', 'JJ']     ['non-warranty', 'NN']
['to', 'IN']     ['to', 'TO']
['repair', 'NN']     ['repair', 'VB']
['longer', 'JJR']     ['longer', 'RB']
['costs', 'VBZ']     ['costs', 'NNS']
['much', 'RB']     ['much', 'JJ']
['TALK', 'VBD']     ['TALK', 'NNP']
['prefer', 'VBP']     ['prefer', 'VB']
['most', 'JJS']     ['most', 'RBS']
['take', 'VBP']     ['take', 'VB']
['recruiting', 'NN']     ['recruiting', 'VBG']
['delousing', 'NN']     ['delousing', 'VBG']
['One', 'NNP']     ['One', 'CD']
['merged', 'VBD']     ['merged', 'VBN']
['to', 'IN']     ['to', 'TO']
['Tenders', 'NNPS']     ['Tenders', 'NNS']
['p.m', 'NNP']     ['p.m', 'NN']
['Investors', 'NNPS']     ['Investors', 'NNP']
['about', 'IN']     ['about', 'RB']
['proposed', 'VBD']     ['proposed', 'VBN']
['concern', 'NN']     ['concern', 'VBP']
['to', 'IN']     ['to', 'TO']
['subordinated', 'VBD']     ['subordinated', 'VBN']
['potential', 'NN']     ['potential', 'JJ']
['preferred', 'VBN']     ['preferred', 'JJ']
['return', 'NN']     ['return', 'VB']
['calls', 'NNS']     ['calls', 'VBZ']
['comment', 'NN']     ['comment', 'VB']
['leveraged', 'VBN']     ['leveraged', 'JJ']
['said', 'VBN']     ['said', 'VBD']
['much', 'RB']     ['much', 'JJ']
['preferred', 'VBN']     ['preferred', 'JJ']
['out', 'RP']     ['out', 'IN']
['Soviets', 'NNS']     ['Soviets', 'NNPS']
['home', 'RB']     ['home', 'NN']
['Soviet-controlled', 'VBN']     ['Soviet-controlled', 'JJ']
['as', 'RB']     ['as', 'IN']
['off', 'RB']     ['off', 'IN']
['as', 'RB']     ['as', 'IN']
['means', 'NNS']     ['means', 'VBZ']
['to', 'IN']     ['to', 'TO']
['off', 'RP']     ['off', 'IN']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['reduced', 'VBD']     ['reduced', 'VBN']
['cut', 'VBD']     ['cut', 'NN']
['further', 'RBR']     ['further', 'JJ']
['so', 'IN']     ['so', 'RB']
['expected', 'VBD']     ['expected', 'VBN']
['behind', 'RB']     ['behind', 'IN']
['in', 'RP']     ['in', 'IN']
['to', 'IN']     ['to', 'TO']
['worth', 'NN']     ['worth', 'JJ']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['BMP', 'NNP']     ['BMP', 'NN']
['state-of-the-art', 'NNP']     ['state-of-the-art', 'JJ']
['fighting', 'NN']     ['fighting', 'VBG']
['Soviet-trained', 'VBN']     ['Soviet-trained', 'JJ']
['U.S.-built', 'CD']     ['U.S.-built', 'JJ']
['no', 'DT']     ['no', 'RB']
['longer', 'RBR']     ['longer', 'RB']
['bloc', 'NNP']     ['bloc', 'NN']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['Indian', 'JJ']     ['Indian', 'NNP']
['Indian', 'JJ']     ['Indian', 'NNP']
['cut', 'VBD']     ['cut', 'NN']
['future', 'JJ']     ['future', 'NN']
['to', 'IN']     ['to', 'TO']
['reports', 'VBZ']     ['reports', 'NNS']
['to', 'IN']     ['to', 'TO']
['Soviet', 'JJ']     ['Soviet', 'NNP']
['Central', 'JJ']     ['Central', 'NNP']
['Asian', 'JJ']     ['Asian', 'NNP']
['American', 'JJ']     ['American', 'NNP']
['European', 'NNP']     ['European', 'JJ']
['Saudi', 'JJ']     ['Saudi', 'NNP']
['Islamic', 'JJ']     ['Islamic', 'NNP']
['to', 'IN']     ['to', 'TO']
['heavy', 'JJ']     ['heavy', 'NN']
['outside', 'JJ']     ['outside', 'IN']
['prepared', 'JJ']     ['prepared', 'VBN']
['to', 'IN']     ['to', 'TO']
['hated', 'VBN']     ['hated', 'VBD']
['feared', 'VBN']     ['feared', 'VBD']
['to', 'IN']     ['to', 'TO']
['only', 'RB']     ['only', 'JJ']
['even', 'RB']     ['even', 'JJ']
['Experienced', 'VBD']     ['Experienced', 'VBN']
['fight', 'VB']     ['fight', 'NN']
['at', 'RB']     ['at', 'IN']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['off', 'RP']     ['off', 'IN']
['much', 'JJ']     ['much', 'NN']
['to', 'IN']     ['to', 'TO']
['what', 'WDT']     ['what', 'WP']
['weakened', 'JJ']     ['weakened', 'VBN']
['up', 'RP']     ['up', 'IN']
['long', 'RB']     ['long', 'JJ']
['Nothing', 'NNP']     ['Nothing', 'NN']
['much', 'RB']     ['much', 'JJ']
['out', 'RP']     ['out', 'IN']
['little', 'JJ']     ['little', 'RB']
['Yet', 'CC']     ['Yet', 'RB']
['around', 'RB']     ['around', 'IN']
['up', 'RP']     ['up', 'IN']
['slip', 'VB']     ['slip', 'VBP']
['down', 'IN']     ['down', 'RP']
['national-priority', 'NN']     ['national-priority', 'JJ']
['seem', 'VBP']     ['seem', 'VB']
['though', 'IN']     ['though', 'RB']
['Republican', 'JJ']     ['Republican', 'NNP']
['out', 'RP']     ['out', 'RB']
['Of', 'RB']     ['Of', 'IN']
['course', 'RB']     ['course', 'NN']
['neither', 'CC']     ['neither', 'DT']
['to', 'IN']     ['to', 'TO']
['next', 'IN']     ['next', 'JJ']
['off', 'RP']     ['off', 'IN']
['next', 'IN']     ['next', 'JJ']
['Contras', 'NNP']     ['Contras', 'NNPS']
['to', 'IN']     ['to', 'TO']
['Wars', 'NNPS']     ['Wars', 'NNP']
['listing', 'VBG']     ['listing', 'NN']
['urge', 'VBP']     ['urge', 'VB']
['to', 'IN']     ['to', 'TO']
['off', 'RP']     ['off', 'IN']
['spending', 'VBG']     ['spending', 'NN']
['out', 'RP']     ['out', 'IN']
['up', 'RP']     ['up', 'IN']
['to', 'IN']     ['to', 'TO']
['arms-control', 'JJ']     ['arms-control', 'NN']
['Wars', 'NNP']     ['Wars', 'NNPS']
['strategic-arms', 'NNP']     ['strategic-arms', 'JJ']
['on', 'RB']     ['on', 'IN']
['that', 'WDT']     ['that', 'IN']
['anti-ballistic-missile', 'NN']     ['anti-ballistic-missile', 'JJ']
['down', 'IN']     ['down', 'RP']
['plans', 'NNS']     ['plans', 'VBZ']
['charges', 'NNS']     ['charges', 'VBZ']
['to', 'IN']     ['to', 'TO']
['arming', 'VBG']     ['arming', 'NN']
['pleased', 'JJ']     ['pleased', 'VBN']
['short', 'JJ']     ['short', 'NN']
['sour', 'JJ']     ['sour', 'VB']
['Republican', 'JJ']     ['Republican', 'NNP']
['longtime', 'NN']     ['longtime', 'JJ']
['that', 'WDT']     ['that', 'IN']
['Above', 'NNP']     ['Above', 'IN']
['though', 'IN']     ['though', 'RB']
['neither', 'CC']     ['neither', 'DT']
['much', 'RB']     ['much', 'JJ']
['further', 'RB']     ['further', 'JJ']
['more', 'JJR']     ['more', 'RBR']
['All', 'PDT']     ['All', 'DT']
['causes', 'VBZ']     ['causes', 'NNS']
['up', 'RP']     ['up', 'IN']
['like', 'VBP']     ['like', 'VB']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['hustings', 'NNS']     ['hustings', 'NN']
['says', 'VBZ']     ['says', 'NNS']
['sorry', 'VBP']     ['sorry', 'JJ']
['Rights', 'NNPS']     ['Rights', 'NNP']
['tired', 'JJ']     ['tired', 'VBN']
['Blacks', 'NNP']     ['Blacks', 'NNS']
['Animals', 'NNPS']     ['Animals', 'NNS']
['Homosexuals', 'NNP']     ['Homosexuals', 'NNS']
['caused', 'VBD']     ['caused', 'VBN']
['leaked', 'VBD']     ['leaked', 'VBN']
['out', 'RP']     ['out', 'RB']
['read', 'VBD']     ['read', 'VB']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['that', 'DT']     ['that', 'IN']
['Rights', 'NNPS']     ['Rights', 'NNS']
['such', 'PDT']     ['such', 'JJ']
['subject', 'JJ']     ['subject', 'NN']
['to', 'IN']     ['to', 'TO']
['select', 'JJ']     ['select', 'VB']
['to', 'IN']     ['to', 'TO']
['put', 'VBD']     ['put', 'VBP']
['on', 'RP']     ['on', 'IN']
['intellectual', 'NN']     ['intellectual', 'JJ']
['to', 'IN']     ['to', 'TO']
['made', 'VBD']     ['made', 'VBN']
['Indian', 'JJ']     ['Indian', 'NNP']
['up', 'RP']     ['up', 'IN']
['elevated', 'VBD']     ['elevated', 'VBN']
['Indian', 'JJ']     ['Indian', 'NNP']
['to', 'IN']     ['to', 'TO']
['Rights', 'NNPS']     ['Rights', 'NNP']
['operating', 'NN']     ['operating', 'VBG']
['operating', 'NN']     ['operating', 'VBG']
['power-transmission', 'NN']     ['power-transmission', 'JJ']
['to', 'IN']     ['to', 'TO']
['operating', 'NN']     ['operating', 'VBG']
['Machines', 'NNPS']     ['Machines', 'NNP']
['stand', 'VB']     ['stand', 'NN']
['computer-chip', 'JJ']     ['computer-chip', 'NN']
['down', 'RP']     ['down', 'RB']
['Industries', 'NNPS']     ['Industries', 'NNP']
['yen', 'NNS']     ['yen', 'NN']
['to', 'IN']     ['to', 'TO']
['halogenated', 'VBN']     ['halogenated', 'VBD']
['hydrocarbon', 'NNP']     ['hydrocarbon', 'NN']
['to', 'IN']     ['to', 'TO']
['concentrated', 'JJ']     ['concentrated', 'VBN']
['to', 'IN']     ['to', 'TO']
['Communist', 'JJ']     ['Communist', 'NNP']
['to', 'IN']     ['to', 'TO']
['Soviet', 'NNP']     ['Soviet', 'JJ']
['as', 'RB']     ['as', 'IN']
['as', 'RB']     ['as', 'IN']
['to', 'IN']     ['to', 'TO']
['headquarters', 'NNS']     ['headquarters', 'NN']
['to', 'IN']     ['to', 'TO']
['plans', 'NNS']     ['plans', 'VBZ']
['top', 'NN']     ['top', 'JJ']
['up', 'RP']     ['up', 'IN']
['next', 'IN']     ['next', 'JJ']
['Major', 'JJ']     ['Major', 'NNP']
['to', 'IN']     ['to', 'TO']
['specialized', 'VBN']     ['specialized', 'JJ']
['de', 'IN']     ['de', 'FW']
['to', 'IN']     ['to', 'TO']
['concerned', 'JJ']     ['concerned', 'VBN']
['burden', 'VB']     ['burden', 'NN']
['more', 'RBR']     ['more', 'JJR']
['proposed', 'VBD']     ['proposed', 'VBN']
['aimed', 'VBN']     ['aimed', 'VBD']
['businesslike', 'VB']     ['businesslike', 'JJ']
['staff-reduction', 'JJ']     ['staff-reduction', 'NN']
['preferred-stock', 'NN']     ['preferred-stock', 'JJ']
['more', 'RBR']     ['more', 'JJR']
['double', 'PDT']     ['double', 'VB']
['underlying', 'JJ']     ['underlying', 'VBG']
['told', 'VBD']     ['told', 'VBN']
['disappointing', 'VBG']     ['disappointing', 'JJ']
['mass-merchandise', 'JJ']     ['mass-merchandise', 'NN']
['up', 'RP']     ['up', 'IN']
['most', 'JJS']     ['most', 'RBS']
['down', 'RP']     ['down', 'RB']
['only', 'JJ']     ['only', 'RB']
['paled', 'VBN']     ['paled', 'VBD']
['madness', 'VBP']     ['madness', 'NN']
['off', 'RP']     ['off', 'IN']
['feel', 'VBP']     ['feel', 'NN']
['live', 'VBP']     ['live', 'VB']
['stock-index', 'JJ']     ['stock-index', 'NN']
['most', 'JJS']     ['most', 'RBS']
['up', 'RB']     ['up', 'IN']
['over', 'RP']     ['over', 'IN']
['ever-faster', 'NN']     ['ever-faster', 'JJ']
['pension-fund', 'JJ']     ['pension-fund', 'NN']
['Services', 'NNPS']     ['Services', 'NNP']
['to', 'IN']     ['to', 'TO']
['that', 'DT']     ['that', 'IN']
['now', 'RB']     ['now', 'JJ']
['account', 'VBP']     ['account', 'NN']
['most', 'JJS']     ['most', 'RBS']
['up', 'RP']     ['up', 'IN']
['up', 'RP']     ['up', 'IN']
['Trading', 'VBG']     ['Trading', 'NN']
['to', 'IN']     ['to', 'TO']
['that', 'WDT']     ['that', 'DT']
['liquid', 'NN']     ['liquid', 'JJ']
['own', 'VBP']     ['own', 'JJ']
['out', 'RP']     ['out', 'IN']
['so', 'IN']     ['so', 'RB']
['from', 'VB']     ['from', 'IN']
['to', 'IN']     ['to', 'TO']
['hedging', 'NN']     ['hedging', 'VBG']
['both', 'CC']     ['both', 'DT']
['even', 'RB']     ['even', 'JJ']
['to', 'IN']     ['to', 'TO']
['fro', 'VB']     ['fro', 'RB']
['buy-and-hold', 'FW']     ['buy-and-hold', 'JJ']
['above', 'JJ']     ['above', 'IN']
['require', 'NN']     ['require', 'VB']
['that', 'IN']     ['that', 'DT']
['down', 'RP']     ['down', 'RB']
['to', 'IN']     ['to', 'TO']
['Lack', 'NNP']     ['Lack', 'NN']
['put', 'VBD']     ['put', 'VB']
['to', 'IN']     ['to', 'TO']
['contract', 'NN']     ['contract', 'VBP']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['off', 'RP']     ['off', 'IN']
['to', 'IN']     ['to', 'TO']
['exit', 'NN']     ['exit', 'VB']
['to', 'IN']     ['to', 'TO']
['Valued', 'NNP']     ['Valued', 'VBN']
['buy-out', 'JJ']     ['buy-out', 'NN']
['now', 'RB']     ['now', 'JJ']
['trading', 'VBG']     ['trading', 'NN']
['closer', 'RBR']     ['closer', 'JJR']
['to', 'IN']     ['to', 'TO']
['buy-and-hold', 'NNP']     ['buy-and-hold', 'JJ']
['to', 'IN']     ['to', 'TO']
['that', 'RB']     ['that', 'NN']
['much', 'JJ']     ['much', 'NN']
['pales', 'NNS']     ['pales', 'VBZ']
['to', 'IN']     ['to', 'TO']
['tailspin', 'IN']     ['tailspin', 'NN']
['short', 'RB']     ['short', 'NN']
['out', 'RP']     ['out', 'IN']
['say', 'VB']     ['say', 'VBP']
['that', 'DT']     ['that', 'IN']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['Internet', 'NN']     ['Internet', 'NNP']
['expected', 'VBD']     ['expected', 'VBN']
['to', 'IN']     ['to', 'TO']
['once', 'IN']     ['once', 'RB']
['operating', 'NN']     ['operating', 'VBG']
['to', 'IN']     ['to', 'TO']
['that', 'WDT']     ['that', 'IN']
['infected', 'VBD']     ['infected', 'VBN']
['operating', 'NN']     ['operating', 'VBG']
['boring', 'VBG']     ['boring', 'JJ']
['up', 'RP']     ['up', 'IN']
['to', 'IN']     ['to', 'TO']
['logs', 'VBZ']     ['logs', 'NNS']
['on', 'RP']     ['on', 'IN']
['Worms', 'NNP']     ['Worms', 'NNPS']
['Against', 'NNP']     ['Against', 'IN']
['to', 'IN']     ['to', 'TO']
['tonight', 'NN']     ['tonight', 'RB']
['up', 'RB']     ['up', 'IN']
['to', 'IN']     ['to', 'TO']
['on', 'RP']     ['on', 'IN']
['to', 'IN']     ['to', 'TO']
['about', 'RB']     ['about', 'IN']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['about', 'RB']     ['about', 'IN']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['space-shuttle', 'JJ']     ['space-shuttle', 'NN']
['delay', 'VB']     ['delay', 'NN']
['before', 'IN']     ['before', 'RB']
['do', 'VB']     ['do', 'VBP']
['change', 'VB']     ['change', 'NN']
['up', 'RP']     ['up', 'IN']
['Yet', 'CC']     ['Yet', 'RB']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['v', 'IN']     ['v', 'CC']
['That', 'IN']     ['That', 'DT']
['long', 'RB']     ['long', 'JJ']
['Dirks', 'NNPS']     ['Dirks', 'NNP']
['v', 'IN']     ['v', 'CC']
['that', 'IN']     ['that', 'DT']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['Prior', 'NNP']     ['Prior', 'RB']
['to', 'IN']     ['to', 'TO']
['relative', 'NN']     ['relative', 'JJ']
['her', 'PRP']     ['her', 'PRP$']
['her', 'PRP']     ['her', 'PRP$']
['to', 'IN']     ['to', 'TO']
['Hearing', 'NN']     ['Hearing', 'NNP']
['fourth-level', 'NN']     ['fourth-level', 'JJ']
['breach', 'VB']     ['breach', 'NN']
['to', 'IN']     ['to', 'TO']
['one', 'NN']     ['one', 'PRP']
['head', 'NN']     ['head', 'VBP']
['hearing', 'VBG']     ['hearing', 'NN']
['bunny', 'NNP']     ['bunny', 'NN']
['to', 'IN']     ['to', 'TO']
['many', 'JJ']     ['many', 'VB']
['to', 'IN']     ['to', 'TO']
['trial', 'NN']     ['trial', 'VB']
['have', 'VB']     ['have', 'VBP']
['Yet', 'CC']     ['Yet', 'RB']
['subsidiary', 'JJ']     ['subsidiary', 'NN']
['to', 'IN']     ['to', 'TO']
['either', 'CC']     ['either', 'DT']
['to', 'IN']     ['to', 'TO']
['After-the-fact', 'ADD']     ['After-the-fact', 'JJ']
['case-by-case', 'VBZ']     ['case-by-case', 'JJ']
['retrospective', 'JJ']     ['retrospective', 'NN']
['making', 'NN']     ['making', 'VBG']
['to', 'IN']     ['to', 'TO']
['ad', 'FW']     ['ad', 'NN']
['one', 'NN']     ['one', 'CD']
['reverse', 'JJ']     ['reverse', 'NN']
['call', 'VB']     ['call', 'NN']
['have', 'VBP']     ['have', 'VB']
['to', 'IN']     ['to', 'TO']
['law-making', 'NN']     ['law-making', 'NNS']
['trading', 'VBG']     ['trading', 'NN']
['lawmaking', 'NN']     ['lawmaking', 'JJ']
['most', 'JJS']     ['most', 'RBS']
['v', 'CD']     ['v', 'CC']
['Yet', 'CC']     ['Yet', 'RB']
['late', 'RB']     ['late', 'JJ']
['one-sentence', 'NN']     ['one-sentence', 'JJ']
['Such', 'PDT']     ['Such', 'JJ']
['less', 'RBR']     ['less', 'JJR']
['to', 'IN']     ['to', 'TO']
['Corning', 'JJ']     ['Corning', 'NNP']
['operating', 'NN']     ['operating', 'VBG']
['laboratory-services', 'NNS']     ['laboratory-services', 'JJ']
['tax-loss', 'JJ']     ['tax-loss', 'NN']
['carry-forward', 'JJ']     ['carry-forward', 'NN']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['Samsung-Corning', 'VBG']     ['Samsung-Corning', 'NNP']
['to', 'IN']     ['to', 'TO']
['overseas', 'RB']     ['overseas', 'JJ']
['affected', 'VBD']     ['affected', 'VBN']
['down', 'IN']     ['down', 'RB']
['briefly', 'RB']     ['briefly', 'NN']
['a.m', 'NNP']     ['a.m', 'NN']
['Airlines', 'NNP']     ['Airlines', 'NNPS']
['points', 'VBZ']     ['points', 'NNS']
['to', 'IN']     ['to', 'TO']
['Computer-guided', 'VBN']     ['Computer-guided', 'JJ']
['buying', 'VBG']     ['buying', 'NN']
['in', 'RP']     ['in', 'IN']
['blue-chip', 'VB']     ['blue-chip', 'JJ']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['traded', 'VBD']     ['traded', 'VBN']
['to', 'IN']     ['to', 'TO']
['buy-out', 'JJ']     ['buy-out', 'NN']
['that', 'WDT']     ['that', 'IN']
['restructuring', 'VBG']     ['restructuring', 'NN']
['used', 'VBN']     ['used', 'VBD']
['witching', 'NN']     ['witching', 'JJ']
['stock-index', 'JJ']     ['stock-index', 'NN']
['Securities', 'NNPS']     ['Securities', 'NNP']
['Investors', 'NNPS']     ['Investors', 'NNS']
['scared', 'JJ']     ['scared', 'VBN']
['to', 'IN']     ['to', 'TO']
['premier', 'JJ']     ['premier', 'NN']
['to', 'IN']     ['to', 'TO']
['leveraged-buy-out', 'NN']     ['leveraged-buy-out', 'JJ']
['lesser-developed-country', 'VBG']     ['lesser-developed-country', 'JJ']
['down', 'RP']     ['down', 'RB']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['Manufacturers', 'NNPS']     ['Manufacturers', 'NNP']
['to', 'IN']     ['to', 'TO']
['buy-out', 'JJ']     ['buy-out', 'NN']
['Manufacturers', 'NNPS']     ['Manufacturers', 'NNP']
['shares', 'NNS']     ['shares', 'VBZ']
['stock-index', 'JJ']     ['stock-index', 'NN']
['lower', 'RBR']     ['lower', 'JJR']
['stock-index', 'JJ']     ['stock-index', 'NN']
['sell', 'VBP']     ['sell', 'VB']
['many', 'JJ']     ['many', 'NN']
['selling', 'VBG']     ['selling', 'NN']
['as', 'RB']     ['as', 'IN']
['bid', 'VB']     ['bid', 'NN']
['to', 'IN']     ['to', 'TO']
['Lines', 'NNP']     ['Lines', 'NNPS']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['filing', 'VBG']     ['filing', 'NN']
['early', 'RB']     ['early', 'JJ']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['off', 'RP']     ['off', 'IN']
['down', 'RP']     ['down', 'RB']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['down', 'RP']     ['down', 'RB']
['to', 'IN']     ['to', 'TO']
['average', 'JJ']     ['average', 'NN']
['high', 'NN']     ['high', 'JJ']
['are', 'VB']     ['are', 'VBP']
['over-the-counter', 'NN']     ['over-the-counter', 'JJ']
['to', 'IN']     ['to', 'TO']
['profit', 'VB']     ['profit', 'NN']
['take', 'VBP']     ['take', 'VB']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['third-quarter', 'NN']     ['third-quarter', 'JJ']
['to', 'IN']     ['to', 'TO']
['plans', 'VBZ']     ['plans', 'NNS']
['to', 'IN']     ['to', 'TO']
['off', 'RP']     ['off', 'IN']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['up', 'RB']     ['up', 'IN']
['earlier', 'JJR']     ['earlier', 'RBR']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['depositary', 'JJ']     ['depositary', 'NN']
['Industries', 'NNP']     ['Industries', 'NNPS']
['to', 'IN']     ['to', 'TO']
['Investment', 'NNP']     ['Investment', 'NN']
['to', 'IN']     ['to', 'TO']
['to', 'IN']     ['to', 'TO']
['A', 'NNP']     ['A', 'DT']
['to', 'IN']     ['to', 'TO']
['Lines', 'NNP']     ['Lines', 'NNPS']
['preferred', 'VBD']     ['preferred', 'JJ']
['to', 'IN']     ['to', 'TO']
['filed', 'VBD']     ['filed', 'VBN']
['F', 'NNP']     ['F', 'NN']
['preferred', 'VBD']     ['preferred', 'JJ']
['to', 'IN']     ['to', 'TO']
['E', 'NNP']     ['E', 'NN']
['preferred', 'VBN']     ['preferred', 'JJ']
['to', 'IN']     ['to', 'TO']
['wider', 'JJR']     ['wider', 'RBR']
['Enviropact', 'VB']     ['Enviropact', 'NNP']
['to', 'IN']     ['to', 'TO']
['PROPERTIES', 'NNP']     ['PROPERTIES', 'NNPS']
['to', 'IN']     ['to', 'TO']
['stock', 'NN']     ['stock', 'VB']
['such', 'PDT']     ['such', 'JJ']
['added', 'VBN']     ['added', 'VBD']
['to', 'IN']     ['to', 'TO']
['small-denomination', 'JJ']     ['small-denomination', 'NN']
['so-called', 'VBN']     ['so-called', 'JJ']
['to', 'IN']     ['to', 'TO']
['Markets', 'VBZ']     ['Markets', 'NNPS']
['below', 'RB']     ['below', 'IN']
